Thu 22 Dec 2022 05:35:08 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.9.0
Python 3.8.11
Vit is used
[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.001, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='Freeze_extractor', model_name='vit', n=50, n_tasks=10, n_worker=0, note='[Freeze_extractor]_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='sgd', reg_coef=100, rnd_seed=1, sched_name='cos', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (Freeze_extractor)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] Freeze_extractor.py:209 > Train | Sample # 304 | train_loss 1.3306 | train_acc 0.6641 | lr 0.000112 | running_time 0:00:48 | ETA 2:11:43
[INFO] Freeze_extractor.py:209 > Train | Sample # 312 | train_loss 0.9081 | train_acc 0.7812 | lr 0.000070 | running_time 0:00:49 | ETA 2:10:23
[INFO] Freeze_extractor.py:209 > Train | Sample # 320 | train_loss 1.1830 | train_acc 0.6667 | lr 0.000037 | running_time 0:00:49 | ETA 2:09:07
[INFO] Freeze_extractor.py:209 > Train | Sample # 328 | train_loss 1.1363 | train_acc 0.7188 | lr 0.000014 | running_time 0:00:50 | ETA 2:07:55
[INFO] Freeze_extractor.py:209 > Train | Sample # 336 | train_loss 1.0324 | train_acc 0.7370 | lr 0.000002 | running_time 0:00:51 | ETA 2:06:44
[INFO] Freeze_extractor.py:209 > Train | Sample # 344 | train_loss 0.9650 | train_acc 0.7630 | lr 0.001000 | running_time 0:00:52 | ETA 2:05:39
[INFO] Freeze_extractor.py:209 > Train | Sample # 352 | train_loss 1.0282 | train_acc 0.7734 | lr 0.000997 | running_time 0:00:52 | ETA 2:04:35
[INFO] Freeze_extractor.py:209 > Train | Sample # 360 | train_loss 1.2004 | train_acc 0.7109 | lr 0.000992 | running_time 0:00:53 | ETA 2:03:35
[INFO] Freeze_extractor.py:209 > Train | Sample # 368 | train_loss 0.9368 | train_acc 0.8047 | lr 0.000985 | running_time 0:00:54 | ETA 2:02:38
[INFO] Freeze_extractor.py:209 > Train | Sample # 376 | train_loss 0.8705 | train_acc 0.7943 | lr 0.000974 | running_time 0:00:55 | ETA 2:01:41
