Thu 22 Dec 2022 06:13:50 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.11.0
Python 3.10.8
[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='resnet34', opt_name='sgd', sched_name='cos', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir='/local_datasets/puridiver/cifar100', debug=False, note='[L2P]_iblurry_cifar100_3epoch', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P.py:342 > Train | Sample # 336 | train_loss 22.3605 | train_acc 0.8333 | lr 0.030000 | running_time 0:01:52 | ETA 4:36:47
[INFO] L2P.py:342 > Train | Sample # 344 | train_loss 23.0994 | train_acc 0.7969 | lr 0.030000 | running_time 0:01:54 | ETA 4:34:40
[INFO] L2P.py:342 > Train | Sample # 352 | train_loss 22.5313 | train_acc 0.7604 | lr 0.030000 | running_time 0:01:55 | ETA 4:32:39
[INFO] L2P.py:342 > Train | Sample # 360 | train_loss 23.4661 | train_acc 0.7057 | lr 0.030000 | running_time 0:01:57 | ETA 4:30:47
[INFO] L2P.py:342 > Train | Sample # 368 | train_loss 22.5211 | train_acc 0.8255 | lr 0.030000 | running_time 0:01:59 | ETA 4:28:56
[INFO] L2P.py:342 > Train | Sample # 376 | train_loss 22.2070 | train_acc 0.7500 | lr 0.030000 | running_time 0:02:01 | ETA 4:27:10
[INFO] L2P.py:342 > Train | Sample # 384 | train_loss 22.9703 | train_acc 0.7786 | lr 0.030000 | running_time 0:02:03 | ETA 4:25:29
[INFO] L2P.py:342 > Train | Sample # 392 | train_loss 23.0995 | train_acc 0.7448 | lr 0.030000 | running_time 0:02:05 | ETA 4:23:53
[INFO] L2P.py:342 > Train | Sample # 400 | train_loss 22.3518 | train_acc 0.7682 | lr 0.030000 | running_time 0:02:06 | ETA 4:22:23
[INFO] L2P.py:352 > Test | Sample # 400 | test_loss 825.3687 | test_acc 0.5200 | 
[INFO] L2P.py:342 > Train | Sample # 408 | train_loss 22.7305 | train_acc 0.7812 | lr 0.030000 | running_time 0:02:25 | ETA 4:54:27
[INFO] L2P.py:342 > Train | Sample # 416 | train_loss 22.6417 | train_acc 0.7318 | lr 0.030000 | running_time 0:02:27 | ETA 4:52:22
[INFO] L2P.py:342 > Train | Sample # 424 | train_loss 23.7707 | train_acc 0.7005 | lr 0.030000 | running_time 0:02:29 | ETA 4:50:22
[INFO] L2P.py:342 > Train | Sample # 432 | train_loss 23.8166 | train_acc 0.7292 | lr 0.030000 | running_time 0:02:30 | ETA 4:48:27
[INFO] L2P.py:342 > Train | Sample # 440 | train_loss 22.5504 | train_acc 0.6979 | lr 0.030000 | running_time 0:02:32 | ETA 4:46:36
[INFO] L2P.py:342 > Train | Sample # 448 | train_loss 22.6577 | train_acc 0.7604 | lr 0.030000 | running_time 0:02:34 | ETA 4:44:46
[INFO] L2P.py:342 > Train | Sample # 456 | train_loss 23.3407 | train_acc 0.8281 | lr 0.030000 | running_time 0:02:36 | ETA 4:43:03
[INFO] L2P.py:342 > Train | Sample # 464 | train_loss 22.9848 | train_acc 0.7422 | lr 0.030000 | running_time 0:02:38 | ETA 4:41:23
[INFO] L2P.py:342 > Train | Sample # 472 | train_loss 22.9990 | train_acc 0.6875 | lr 0.030000 | running_time 0:02:39 | ETA 4:39:45
[INFO] L2P.py:342 > Train | Sample # 480 | train_loss 23.5800 | train_acc 0.7552 | lr 0.030000 | running_time 0:02:41 | ETA 4:38:11
[INFO] L2P.py:342 > Train | Sample # 488 | train_loss 22.5202 | train_acc 0.7188 | lr 0.030000 | running_time 0:02:43 | ETA 4:36:39
[INFO] L2P.py:342 > Train | Sample # 496 | train_loss 22.9818 | train_acc 0.6745 | lr 0.030000 | running_time 0:02:45 | ETA 4:35:10
[INFO] L2P.py:352 > Test | Sample # 500 | test_loss 781.6623 | test_acc 0.4669 | 
[INFO] L2P.py:342 > Train | Sample # 504 | train_loss 22.6298 | train_acc 0.7370 | lr 0.030000 | running_time 0:03:05 | ETA 5:04:22
[INFO] L2P.py:342 > Train | Sample # 512 | train_loss 22.9518 | train_acc 0.7500 | lr 0.030000 | running_time 0:03:07 | ETA 5:02:28
