[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='er', model_name='resnet34', n=50, n_tasks=10, n_worker=0, note='[ER-Adam]_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (er)
[Selected Model: resnet34
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:198 > Train | Sample # 424 | train_loss 1.8513 | train_acc 0.4453 | lr 0.000299 | running_time 0:01:11 | ETA 2:20:00
[INFO] er_baseline.py:198 > Train | Sample # 432 | train_loss 1.7331 | train_acc 0.4688 | lr 0.000299 | running_time 0:01:13 | ETA 2:19:45
[INFO] er_baseline.py:198 > Train | Sample # 440 | train_loss 1.8420 | train_acc 0.4375 | lr 0.000298 | running_time 0:01:14 | ETA 2:19:32
[INFO] er_baseline.py:198 > Train | Sample # 448 | train_loss 1.7681 | train_acc 0.4635 | lr 0.000297 | running_time 0:01:15 | ETA 2:19:19
[INFO] er_baseline.py:198 > Train | Sample # 456 | train_loss 1.9218 | train_acc 0.4062 | lr 0.000299 | running_time 0:01:16 | ETA 2:19:05
[INFO] er_baseline.py:198 > Train | Sample # 464 | train_loss 1.8000 | train_acc 0.4349 | lr 0.000299 | running_time 0:01:17 | ETA 2:18:44
[INFO] er_baseline.py:198 > Train | Sample # 472 | train_loss 1.7928 | train_acc 0.4297 | lr 0.000298 | running_time 0:01:19 | ETA 2:18:20
[INFO] er_baseline.py:198 > Train | Sample # 480 | train_loss 1.8576 | train_acc 0.4661 | lr 0.000299 | running_time 0:01:20 | ETA 2:18:00
[INFO] er_baseline.py:198 > Train | Sample # 488 | train_loss 1.9733 | train_acc 0.4453 | lr 0.000299 | running_time 0:01:21 | ETA 2:17:38
[INFO] er_baseline.py:198 > Train | Sample # 496 | train_loss 1.9477 | train_acc 0.4115 | lr 0.000298 | running_time 0:01:22 | ETA 2:17:16
[INFO] er_baseline.py:208 > Test | Sample # 500 | test_loss 12.2604 | test_acc 0.1477 | 
[INFO] er_baseline.py:198 > Train | Sample # 504 | train_loss 2.1576 | train_acc 0.3776 | lr 0.000297 | running_time 0:01:25 | ETA 2:19:37
[INFO] er_baseline.py:198 > Train | Sample # 512 | train_loss 1.9246 | train_acc 0.3698 | lr 0.000296 | running_time 0:01:26 | ETA 2:19:24
[INFO] er_baseline.py:198 > Train | Sample # 520 | train_loss 2.1181 | train_acc 0.3958 | lr 0.000296 | running_time 0:01:27 | ETA 2:19:14
[INFO] er_baseline.py:198 > Train | Sample # 528 | train_loss 1.7524 | train_acc 0.4792 | lr 0.000299 | running_time 0:01:29 | ETA 2:19:05
[INFO] er_baseline.py:198 > Train | Sample # 536 | train_loss 1.7842 | train_acc 0.4974 | lr 0.000299 | running_time 0:01:30 | ETA 2:18:48
[INFO] er_baseline.py:198 > Train | Sample # 544 | train_loss 2.1804 | train_acc 0.3854 | lr 0.000298 | running_time 0:01:31 | ETA 2:18:29
[INFO] er_baseline.py:198 > Train | Sample # 552 | train_loss 1.8582 | train_acc 0.4271 | lr 0.000297 | running_time 0:01:32 | ETA 2:18:19
[INFO] er_baseline.py:198 > Train | Sample # 560 | train_loss 2.0755 | train_acc 0.4661 | lr 0.000296 | running_time 0:01:33 | ETA 2:18:10
[INFO] er_baseline.py:198 > Train | Sample # 568 | train_loss 1.9952 | train_acc 0.4245 | lr 0.000296 | running_time 0:01:35 | ETA 2:18:00
[INFO] er_baseline.py:198 > Train | Sample # 576 | train_loss 1.8849 | train_acc 0.4323 | lr 0.000299 | running_time 0:01:36 | ETA 2:17:50
[INFO] er_baseline.py:198 > Train | Sample # 584 | train_loss 1.7540 | train_acc 0.5078 | lr 0.000299 | running_time 0:01:37 | ETA 2:17:40
[INFO] er_baseline.py:198 > Train | Sample # 592 | train_loss 1.7370 | train_acc 0.5026 | lr 0.000298 | running_time 0:01:38 | ETA 2:17:31
[INFO] er_baseline.py:198 > Train | Sample # 600 | train_loss 1.6807 | train_acc 0.5104 | lr 0.000297 | running_time 0:01:40 | ETA 2:17:22
[INFO] er_baseline.py:208 > Test | Sample # 600 | test_loss 10.3995 | test_acc 0.1414 | 
[INFO] er_baseline.py:198 > Train | Sample # 608 | train_loss 1.8675 | train_acc 0.3776 | lr 0.000296 | running_time 0:01:42 | ETA 2:19:27
[INFO] er_baseline.py:198 > Train | Sample # 616 | train_loss 1.6586 | train_acc 0.5443 | lr 0.000296 | running_time 0:01:44 | ETA 2:19:19
[INFO] er_baseline.py:198 > Train | Sample # 624 | train_loss 2.0305 | train_acc 0.3646 | lr 0.000295 | running_time 0:01:45 | ETA 2:19:09
[INFO] er_baseline.py:198 > Train | Sample # 632 | train_loss 2.6224 | train_acc 0.3125 | lr 0.000294 | running_time 0:01:46 | ETA 2:18:59
[INFO] er_baseline.py:198 > Train | Sample # 640 | train_loss 2.3224 | train_acc 0.3984 | lr 0.000299 | running_time 0:01:48 | ETA 2:18:50
[INFO] er_baseline.py:198 > Train | Sample # 648 | train_loss 1.9248 | train_acc 0.3984 | lr 0.000299 | running_time 0:01:49 | ETA 2:18:39
[INFO] er_baseline.py:198 > Train | Sample # 656 | train_loss 1.7141 | train_acc 0.4922 | lr 0.000299 | running_time 0:01:50 | ETA 2:18:30
[INFO] er_baseline.py:198 > Train | Sample # 664 | train_loss 1.9462 | train_acc 0.4609 | lr 0.000299 | running_time 0:01:51 | ETA 2:18:20
[INFO] er_baseline.py:198 > Train | Sample # 672 | train_loss 1.8244 | train_acc 0.4896 | lr 0.000298 | running_time 0:01:52 | ETA 2:18:11
[INFO] er_baseline.py:198 > Train | Sample # 680 | train_loss 2.0026 | train_acc 0.4219 | lr 0.000297 | running_time 0:01:54 | ETA 2:18:01
[INFO] er_baseline.py:198 > Train | Sample # 688 | train_loss 2.0862 | train_acc 0.3438 | lr 0.000296 | running_time 0:01:55 | ETA 2:17:53
[INFO] er_baseline.py:198 > Train | Sample # 696 | train_loss 2.3566 | train_acc 0.3385 | lr 0.000296 | running_time 0:01:56 | ETA 2:17:42
[INFO] er_baseline.py:208 > Test | Sample # 700 | test_loss 10.7224 | test_acc 0.1210 | 
[INFO] er_baseline.py:198 > Train | Sample # 704 | train_loss 1.9628 | train_acc 0.3464 | lr 0.000295 | running_time 0:01:59 | ETA 2:19:38
[INFO] er_baseline.py:198 > Train | Sample # 712 | train_loss 3.0832 | train_acc 0.2682 | lr 0.000299 | running_time 0:02:00 | ETA 2:19:33
[INFO] er_baseline.py:198 > Train | Sample # 720 | train_loss 2.1162 | train_acc 0.4219 | lr 0.000299 | running_time 0:02:02 | ETA 2:19:22
[INFO] er_baseline.py:198 > Train | Sample # 728 | train_loss 2.4847 | train_acc 0.3438 | lr 0.000298 | running_time 0:02:03 | ETA 2:19:13
[INFO] er_baseline.py:198 > Train | Sample # 736 | train_loss 1.9753 | train_acc 0.4115 | lr 0.000299 | running_time 0:02:04 | ETA 2:19:04
[INFO] er_baseline.py:198 > Train | Sample # 744 | train_loss 2.2597 | train_acc 0.4089 | lr 0.000299 | running_time 0:02:05 | ETA 2:18:54
[INFO] er_baseline.py:198 > Train | Sample # 752 | train_loss 2.1729 | train_acc 0.3802 | lr 0.000299 | running_time 0:02:07 | ETA 2:18:44
[INFO] er_baseline.py:198 > Train | Sample # 760 | train_loss 2.0014 | train_acc 0.4349 | lr 0.000299 | running_time 0:02:08 | ETA 2:18:36
[INFO] er_baseline.py:198 > Train | Sample # 768 | train_loss 2.1284 | train_acc 0.4557 | lr 0.000298 | running_time 0:02:09 | ETA 2:18:28
[INFO] er_baseline.py:198 > Train | Sample # 776 | train_loss 2.1998 | train_acc 0.3281 | lr 0.000297 | running_time 0:02:10 | ETA 2:18:19
[INFO] er_baseline.py:198 > Train | Sample # 784 | train_loss 2.0043 | train_acc 0.4141 | lr 0.000296 | running_time 0:02:12 | ETA 2:18:11
[INFO] er_baseline.py:198 > Train | Sample # 792 | train_loss 2.1558 | train_acc 0.3255 | lr 0.000296 | running_time 0:02:13 | ETA 2:18:01
[INFO] er_baseline.py:198 > Train | Sample # 800 | train_loss 1.9286 | train_acc 0.4062 | lr 0.000295 | running_time 0:02:14 | ETA 2:17:48
[INFO] er_baseline.py:208 > Test | Sample # 800 | test_loss 18.8080 | test_acc 0.1061 | 
[INFO] er_baseline.py:198 > Train | Sample # 808 | train_loss 2.0149 | train_acc 0.4271 | lr 0.000294 | running_time 0:02:17 | ETA 2:19:32
[INFO] er_baseline.py:198 > Train | Sample # 816 | train_loss 1.6943 | train_acc 0.4193 | lr 0.000294 | running_time 0:02:18 | ETA 2:19:17
[INFO] er_baseline.py:198 > Train | Sample # 824 | train_loss 1.8716 | train_acc 0.4375 | lr 0.000293 | running_time 0:02:19 | ETA 2:19:03
[INFO] er_baseline.py:198 > Train | Sample # 832 | train_loss 1.6900 | train_acc 0.4115 | lr 0.000292 | running_time 0:02:20 | ETA 2:18:52
[INFO] er_baseline.py:198 > Train | Sample # 840 | train_loss 2.0139 | train_acc 0.3672 | lr 0.000299 | running_time 0:02:22 | ETA 2:18:42
[INFO] er_baseline.py:198 > Train | Sample # 848 | train_loss 2.0837 | train_acc 0.4115 | lr 0.000299 | running_time 0:02:23 | ETA 2:18:28
[INFO] er_baseline.py:198 > Train | Sample # 856 | train_loss 2.8773 | train_acc 0.3359 | lr 0.000299 | running_time 0:02:24 | ETA 2:18:15
[INFO] er_baseline.py:198 > Train | Sample # 864 | train_loss 1.9328 | train_acc 0.3880 | lr 0.000299 | running_time 0:02:25 | ETA 2:18:09
[INFO] er_baseline.py:198 > Train | Sample # 872 | train_loss 2.7629 | train_acc 0.2891 | lr 0.000299 | running_time 0:02:26 | ETA 2:18:01
[INFO] er_baseline.py:198 > Train | Sample # 880 | train_loss 2.1746 | train_acc 0.3516 | lr 0.000298 | running_time 0:02:28 | ETA 2:17:54
[INFO] er_baseline.py:198 > Train | Sample # 888 | train_loss 2.2007 | train_acc 0.3568 | lr 0.000297 | running_time 0:02:29 | ETA 2:17:47
[INFO] er_baseline.py:198 > Train | Sample # 896 | train_loss 1.8426 | train_acc 0.4479 | lr 0.000296 | running_time 0:02:30 | ETA 2:17:39
[INFO] er_baseline.py:208 > Test | Sample # 900 | test_loss 11.0136 | test_acc 0.1161 | 
[INFO] er_baseline.py:198 > Train | Sample # 904 | train_loss 1.8108 | train_acc 0.4115 | lr 0.000296 | running_time 0:02:34 | ETA 2:19:26
[INFO] er_baseline.py:198 > Train | Sample # 912 | train_loss 2.0415 | train_acc 0.3854 | lr 0.000299 | running_time 0:02:35 | ETA 2:19:20
[INFO] er_baseline.py:198 > Train | Sample # 920 | train_loss 2.3861 | train_acc 0.4010 | lr 0.000299 | running_time 0:02:36 | ETA 2:19:11
[INFO] er_baseline.py:198 > Train | Sample # 928 | train_loss 1.8341 | train_acc 0.4531 | lr 0.000298 | running_time 0:02:37 | ETA 2:19:03
[INFO] er_baseline.py:198 > Train | Sample # 936 | train_loss 2.7840 | train_acc 0.4115 | lr 0.000297 | running_time 0:02:38 | ETA 2:18:51
[INFO] er_baseline.py:198 > Train | Sample # 944 | train_loss 2.0252 | train_acc 0.3880 | lr 0.000296 | running_time 0:02:40 | ETA 2:18:40
[INFO] er_baseline.py:198 > Train | Sample # 952 | train_loss 1.9828 | train_acc 0.3385 | lr 0.000296 | running_time 0:02:41 | ETA 2:18:31
[INFO] er_baseline.py:198 > Train | Sample # 960 | train_loss 1.9191 | train_acc 0.4167 | lr 0.000295 | running_time 0:02:42 | ETA 2:18:20
[INFO] er_baseline.py:198 > Train | Sample # 968 | train_loss 2.4382 | train_acc 0.4297 | lr 0.000294 | running_time 0:02:43 | ETA 2:18:08
[INFO] er_baseline.py:198 > Train | Sample # 976 | train_loss 1.9280 | train_acc 0.4141 | lr 0.000294 | running_time 0:02:44 | ETA 2:18:00
[INFO] er_baseline.py:198 > Train | Sample # 984 | train_loss 1.9700 | train_acc 0.4427 | lr 0.000293 | running_time 0:02:46 | ETA 2:17:51
[INFO] er_baseline.py:198 > Train | Sample # 992 | train_loss 1.6781 | train_acc 0.4870 | lr 0.000292 | running_time 0:02:47 | ETA 2:17:41
