[INFO] main.py:39 > Namespace(mode='clib', dataset='tinyimagenet', n_tasks=5, n=50, m=10, rnd_seed=1, memory_size=4000, log_path='results', model_name='resnet34', opt_name='adam', sched_name='default', batchsize=32, n_worker=0, lr=0.0003, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir=None, debug=False, note='clib', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(64, 64), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.IMAGENET, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4802, 0.4481, 0.3975), std=(0.2302, 0.2265, 0.2262))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
[INFO] main.py:110 > [2] Incrementally training 5 tasks
[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:198 > Train | Sample # 56 | train_loss 2.6425 | train_acc 0.3333 | lr 0.000285 | running_time 0:00:14 | ETA 7:17:56
[INFO] er_baseline.py:198 > Train | Sample # 57 | train_loss 1.4563 | train_acc 0.7083 | lr 0.000285 | running_time 0:00:15 | ETA 7:18:24
[INFO] er_baseline.py:198 > Train | Sample # 58 | train_loss 1.4421 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:15 | ETA 7:18:25
[INFO] er_baseline.py:198 > Train | Sample # 59 | train_loss 1.6264 | train_acc 0.5833 | lr 0.000285 | running_time 0:00:15 | ETA 7:19:01
[INFO] er_baseline.py:198 > Train | Sample # 60 | train_loss 2.1981 | train_acc 0.4062 | lr 0.000285 | running_time 0:00:15 | ETA 7:19:00
[INFO] er_baseline.py:198 > Train | Sample # 61 | train_loss 1.8347 | train_acc 0.5729 | lr 0.000300 | running_time 0:00:16 | ETA 7:19:33
[INFO] er_baseline.py:198 > Train | Sample # 62 | train_loss 2.0680 | train_acc 0.4271 | lr 0.000300 | running_time 0:00:16 | ETA 7:20:44
[INFO] er_baseline.py:198 > Train | Sample # 63 | train_loss 1.4986 | train_acc 0.6979 | lr 0.000300 | running_time 0:00:16 | ETA 7:21:03
[INFO] er_baseline.py:198 > Train | Sample # 64 | train_loss 1.9249 | train_acc 0.4896 | lr 0.000300 | running_time 0:00:16 | ETA 7:21:11
[INFO] er_baseline.py:198 > Train | Sample # 65 | train_loss 2.3914 | train_acc 0.3958 | lr 0.000300 | running_time 0:00:17 | ETA 7:21:31
[INFO] er_baseline.py:198 > Train | Sample # 66 | train_loss 1.8608 | train_acc 0.5521 | lr 0.000300 | running_time 0:00:17 | ETA 7:22:01
[INFO] er_baseline.py:198 > Train | Sample # 67 | train_loss 2.5796 | train_acc 0.3438 | lr 0.000300 | running_time 0:00:17 | ETA 7:22:36
[INFO] er_baseline.py:198 > Train | Sample # 68 | train_loss 1.9421 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:18 | ETA 7:22:59
[INFO] er_baseline.py:198 > Train | Sample # 69 | train_loss 1.9368 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:18 | ETA 7:23:22
[INFO] er_baseline.py:198 > Train | Sample # 70 | train_loss 1.6883 | train_acc 0.5417 | lr 0.000300 | running_time 0:00:18 | ETA 7:23:38
[INFO] er_baseline.py:198 > Train | Sample # 71 | train_loss 1.5748 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:18 | ETA 7:24:05
[INFO] er_baseline.py:198 > Train | Sample # 72 | train_loss 1.7090 | train_acc 0.6354 | lr 0.000285 | running_time 0:00:19 | ETA 7:24:27
[INFO] er_baseline.py:198 > Train | Sample # 73 | train_loss 1.7477 | train_acc 0.5729 | lr 0.000285 | running_time 0:00:19 | ETA 7:24:48
[INFO] er_baseline.py:198 > Train | Sample # 74 | train_loss 1.9326 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:19 | ETA 7:25:18
[INFO] er_baseline.py:198 > Train | Sample # 75 | train_loss 1.5859 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:20 | ETA 7:25:33
[INFO] er_baseline.py:198 > Train | Sample # 76 | train_loss 2.0655 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:20 | ETA 7:25:58
[INFO] er_baseline.py:198 > Train | Sample # 77 | train_loss 1.5200 | train_acc 0.6667 | lr 0.000285 | running_time 0:00:20 | ETA 7:26:28
[INFO] er_baseline.py:198 > Train | Sample # 78 | train_loss 2.2606 | train_acc 0.3646 | lr 0.000285 | running_time 0:00:20 | ETA 7:27:04
[INFO] er_baseline.py:198 > Train | Sample # 79 | train_loss 2.0188 | train_acc 0.4375 | lr 0.000285 | running_time 0:00:21 | ETA 7:27:49
[INFO] er_baseline.py:198 > Train | Sample # 80 | train_loss 1.0291 | train_acc 0.7812 | lr 0.000285 | running_time 0:00:21 | ETA 7:27:51
[INFO] er_baseline.py:198 > Train | Sample # 81 | train_loss 1.7152 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:21 | ETA 7:27:58
[INFO] er_baseline.py:198 > Train | Sample # 82 | train_loss 2.2522 | train_acc 0.3646 | lr 0.000300 | running_time 0:00:22 | ETA 7:27:55
[INFO] er_baseline.py:198 > Train | Sample # 83 | train_loss 1.9677 | train_acc 0.4375 | lr 0.000300 | running_time 0:00:22 | ETA 7:28:31
[INFO] er_baseline.py:198 > Train | Sample # 84 | train_loss 1.1199 | train_acc 0.7083 | lr 0.000300 | running_time 0:00:22 | ETA 7:28:49
[INFO] er_baseline.py:198 > Train | Sample # 85 | train_loss 1.5561 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:22 | ETA 7:29:11
[INFO] er_baseline.py:198 > Train | Sample # 86 | train_loss 1.6680 | train_acc 0.6458 | lr 0.000300 | running_time 0:00:23 | ETA 7:29:41
[INFO] er_baseline.py:198 > Train | Sample # 87 | train_loss 1.5466 | train_acc 0.6771 | lr 0.000300 | running_time 0:00:23 | ETA 7:30:18
[INFO] er_baseline.py:198 > Train | Sample # 88 | train_loss 1.7195 | train_acc 0.4896 | lr 0.000300 | running_time 0:00:23 | ETA 7:30:20
[INFO] er_baseline.py:198 > Train | Sample # 89 | train_loss 1.8128 | train_acc 0.5729 | lr 0.000300 | running_time 0:00:24 | ETA 7:30:45
[INFO] er_baseline.py:198 > Train | Sample # 90 | train_loss 1.2375 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:24 | ETA 7:30:45
[INFO] er_baseline.py:198 > Train | Sample # 91 | train_loss 1.5170 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:24 | ETA 7:30:50
[INFO] er_baseline.py:198 > Train | Sample # 92 | train_loss 1.5064 | train_acc 0.7083 | lr 0.000285 | running_time 0:00:24 | ETA 7:31:04
[INFO] er_baseline.py:198 > Train | Sample # 93 | train_loss 1.6073 | train_acc 0.6354 | lr 0.000285 | running_time 0:00:25 | ETA 7:31:16
[INFO] er_baseline.py:198 > Train | Sample # 94 | train_loss 1.4717 | train_acc 0.7188 | lr 0.000285 | running_time 0:00:25 | ETA 7:31:27
[INFO] er_baseline.py:198 > Train | Sample # 95 | train_loss 1.6715 | train_acc 0.6458 | lr 0.000285 | running_time 0:00:25 | ETA 7:31:36
[INFO] er_baseline.py:198 > Train | Sample # 96 | train_loss 2.3621 | train_acc 0.4375 | lr 0.000285 | running_time 0:00:26 | ETA 7:31:39
[INFO] er_baseline.py:198 > Train | Sample # 97 | train_loss 2.5522 | train_acc 0.3646 | lr 0.000285 | running_time 0:00:26 | ETA 7:31:51
[INFO] er_baseline.py:198 > Train | Sample # 98 | train_loss 1.7581 | train_acc 0.5417 | lr 0.000285 | running_time 0:00:26 | ETA 7:32:01
[INFO] er_baseline.py:198 > Train | Sample # 99 | train_loss 2.2188 | train_acc 0.4896 | lr 0.000285 | running_time 0:00:26 | ETA 7:32:12
[INFO] er_baseline.py:198 > Train | Sample # 100 | train_loss 2.2012 | train_acc 0.4896 | lr 0.000285 | running_time 0:00:27 | ETA 7:32:17
[INFO] er_baseline.py:208 > Test | Sample # 100 | test_loss 4.7141 | test_acc 0.0620 | 
[INFO] er_baseline.py:198 > Train | Sample # 101 | train_loss 1.7895 | train_acc 0.5833 | lr 0.000300 | running_time 0:00:28 | ETA 7:52:59
[INFO] er_baseline.py:198 > Train | Sample # 102 | train_loss 1.3121 | train_acc 0.6667 | lr 0.000300 | running_time 0:00:28 | ETA 7:52:57
[INFO] er_baseline.py:198 > Train | Sample # 103 | train_loss 1.2647 | train_acc 0.7083 | lr 0.000300 | running_time 0:00:29 | ETA 7:52:44
[INFO] er_baseline.py:198 > Train | Sample # 104 | train_loss 2.8793 | train_acc 0.2083 | lr 0.000300 | running_time 0:00:29 | ETA 7:52:25
[INFO] er_baseline.py:198 > Train | Sample # 105 | train_loss 1.3091 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:29 | ETA 7:52:20
[INFO] er_baseline.py:198 > Train | Sample # 106 | train_loss 2.2342 | train_acc 0.4583 | lr 0.000300 | running_time 0:00:30 | ETA 7:52:15
[INFO] er_baseline.py:198 > Train | Sample # 107 | train_loss 2.0565 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:30 | ETA 7:52:11
[INFO] er_baseline.py:198 > Train | Sample # 108 | train_loss 1.7752 | train_acc 0.6146 | lr 0.000300 | running_time 0:00:30 | ETA 7:51:51
[INFO] er_baseline.py:198 > Train | Sample # 109 | train_loss 1.1576 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:30 | ETA 7:51:53
[INFO] er_baseline.py:198 > Train | Sample # 110 | train_loss 2.2670 | train_acc 0.3750 | lr 0.000300 | running_time 0:00:31 | ETA 7:51:41
[INFO] er_baseline.py:198 > Train | Sample # 111 | train_loss 3.0976 | train_acc 0.3125 | lr 0.000285 | running_time 0:00:31 | ETA 7:51:35
[INFO] er_baseline.py:198 > Train | Sample # 112 | train_loss 1.8436 | train_acc 0.4896 | lr 0.000285 | running_time 0:00:31 | ETA 7:51:21
[INFO] er_baseline.py:198 > Train | Sample # 113 | train_loss 2.0333 | train_acc 0.5833 | lr 0.000285 | running_time 0:00:31 | ETA 7:50:55
[INFO] er_baseline.py:198 > Train | Sample # 114 | train_loss 1.9161 | train_acc 0.5833 | lr 0.000285 | running_time 0:00:32 | ETA 7:50:52
[INFO] er_baseline.py:198 > Train | Sample # 115 | train_loss 1.7087 | train_acc 0.5833 | lr 0.000285 | running_time 0:00:32 | ETA 7:50:41
[INFO] er_baseline.py:198 > Train | Sample # 116 | train_loss 2.2087 | train_acc 0.5208 | lr 0.000285 | running_time 0:00:32 | ETA 7:50:43
[INFO] er_baseline.py:198 > Train | Sample # 117 | train_loss 2.0130 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:33 | ETA 7:50:21
[INFO] er_baseline.py:198 > Train | Sample # 118 | train_loss 1.6064 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:33 | ETA 7:50:27
[INFO] er_baseline.py:198 > Train | Sample # 119 | train_loss 1.5993 | train_acc 0.5833 | lr 0.000285 | running_time 0:00:33 | ETA 7:50:31
[INFO] er_baseline.py:198 > Train | Sample # 120 | train_loss 1.8055 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:33 | ETA 7:50:26
[INFO] er_baseline.py:198 > Train | Sample # 121 | train_loss 1.7488 | train_acc 0.5729 | lr 0.000300 | running_time 0:00:34 | ETA 7:50:21
[INFO] er_baseline.py:198 > Train | Sample # 122 | train_loss 1.4074 | train_acc 0.7292 | lr 0.000300 | running_time 0:00:34 | ETA 7:50:14
[INFO] er_baseline.py:198 > Train | Sample # 123 | train_loss 1.9296 | train_acc 0.5729 | lr 0.000300 | running_time 0:00:34 | ETA 7:49:56
[INFO] er_baseline.py:198 > Train | Sample # 124 | train_loss 2.7370 | train_acc 0.3125 | lr 0.000300 | running_time 0:00:34 | ETA 7:49:49
[INFO] er_baseline.py:198 > Train | Sample # 125 | train_loss 1.1710 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:35 | ETA 7:49:55
[INFO] er_baseline.py:198 > Train | Sample # 126 | train_loss 2.6553 | train_acc 0.3438 | lr 0.000300 | running_time 0:00:35 | ETA 7:49:40
[INFO] er_baseline.py:198 > Train | Sample # 127 | train_loss 1.3826 | train_acc 0.6354 | lr 0.000300 | running_time 0:00:35 | ETA 7:49:41
[INFO] er_baseline.py:198 > Train | Sample # 128 | train_loss 1.7877 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:36 | ETA 7:49:28
[INFO] er_baseline.py:198 > Train | Sample # 129 | train_loss 2.3407 | train_acc 0.4271 | lr 0.000300 | running_time 0:00:36 | ETA 7:49:36
