[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='resnet34', opt_name='adam', sched_name='default', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir=None, debug=False, note='clib', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks
[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P.py:339 > Train | Sample # 800 | train_loss 40.7192 | train_acc 0.6641 | lr 0.023599 | running_time 0:07:25 | ETA 7:36:37
[INFO] L2P.py:349 > Test | Sample # 800 | test_loss 1153.1242 | test_acc 0.4300 | 
[INFO] L2P.py:339 > Train | Sample # 808 | train_loss 40.1987 | train_acc 0.7708 | lr 0.023542 | running_time 0:07:58 | ETA 8:05:15
[INFO] L2P.py:339 > Train | Sample # 816 | train_loss 40.1513 | train_acc 0.7552 | lr 0.023486 | running_time 0:08:01 | ETA 8:03:26
[INFO] L2P.py:339 > Train | Sample # 824 | train_loss 40.4500 | train_acc 0.7083 | lr 0.023429 | running_time 0:08:04 | ETA 8:01:38
[INFO] L2P.py:339 > Train | Sample # 832 | train_loss 40.9680 | train_acc 0.6250 | lr 0.023373 | running_time 0:08:07 | ETA 7:59:56
[INFO] L2P.py:339 > Train | Sample # 840 | train_loss 40.5868 | train_acc 0.6693 | lr 0.023317 | running_time 0:08:10 | ETA 7:58:13
[INFO] L2P.py:339 > Train | Sample # 848 | train_loss 40.8693 | train_acc 0.6276 | lr 0.023261 | running_time 0:08:13 | ETA 7:56:33
[INFO] L2P.py:339 > Train | Sample # 856 | train_loss 41.6123 | train_acc 0.5234 | lr 0.023205 | running_time 0:08:16 | ETA 7:54:54
[INFO] L2P.py:339 > Train | Sample # 864 | train_loss 40.4238 | train_acc 0.7109 | lr 0.023150 | running_time 0:08:19 | ETA 7:53:17
[INFO] L2P.py:339 > Train | Sample # 872 | train_loss 41.3828 | train_acc 0.6328 | lr 0.023094 | running_time 0:08:22 | ETA 7:51:41
[INFO] L2P.py:339 > Train | Sample # 880 | train_loss 40.5717 | train_acc 0.6979 | lr 0.023039 | running_time 0:08:25 | ETA 7:50:06
[INFO] L2P.py:339 > Train | Sample # 888 | train_loss 40.4181 | train_acc 0.7318 | lr 0.022984 | running_time 0:08:28 | ETA 7:48:34
[INFO] L2P.py:339 > Train | Sample # 896 | train_loss 40.5409 | train_acc 0.6901 | lr 0.022929 | running_time 0:08:31 | ETA 7:47:03
[INFO] L2P.py:349 > Test | Sample # 900 | test_loss 1102.5599 | test_acc 0.3878 | 
[INFO] L2P.py:339 > Train | Sample # 904 | train_loss 40.1129 | train_acc 0.7708 | lr 0.022874 | running_time 0:09:06 | ETA 8:14:54
[INFO] L2P.py:339 > Train | Sample # 912 | train_loss 40.6920 | train_acc 0.6224 | lr 0.022819 | running_time 0:09:09 | ETA 8:13:11
[INFO] L2P.py:339 > Train | Sample # 920 | train_loss 40.7489 | train_acc 0.6667 | lr 0.022764 | running_time 0:09:12 | ETA 8:11:28
[INFO] L2P.py:339 > Train | Sample # 928 | train_loss 40.5845 | train_acc 0.6406 | lr 0.022710 | running_time 0:09:15 | ETA 8:09:48
[INFO] L2P.py:339 > Train | Sample # 936 | train_loss 40.7850 | train_acc 0.6589 | lr 0.022655 | running_time 0:09:18 | ETA 8:08:10
[INFO] L2P.py:339 > Train | Sample # 944 | train_loss 40.4580 | train_acc 0.7240 | lr 0.022601 | running_time 0:09:21 | ETA 8:06:34
[INFO] L2P.py:339 > Train | Sample # 952 | train_loss 40.6587 | train_acc 0.6927 | lr 0.022547 | running_time 0:09:24 | ETA 8:05:03
[INFO] L2P.py:339 > Train | Sample # 960 | train_loss 40.2554 | train_acc 0.7474 | lr 0.022493 | running_time 0:09:27 | ETA 8:03:31
[INFO] L2P.py:339 > Train | Sample # 968 | train_loss 40.5472 | train_acc 0.7005 | lr 0.022439 | running_time 0:09:30 | ETA 8:01:59
[INFO] L2P.py:339 > Train | Sample # 976 | train_loss 40.4319 | train_acc 0.6667 | lr 0.022385 | running_time 0:09:33 | ETA 8:00:29
[INFO] L2P.py:339 > Train | Sample # 984 | train_loss 40.7072 | train_acc 0.6875 | lr 0.022331 | running_time 0:09:36 | ETA 7:59:00
[INFO] L2P.py:339 > Train | Sample # 992 | train_loss 40.3757 | train_acc 0.7318 | lr 0.022278 | running_time 0:09:39 | ETA 7:57:31
[INFO] L2P.py:339 > Train | Sample # 1000 | train_loss 41.5184 | train_acc 0.5286 | lr 0.022224 | running_time 0:09:42 | ETA 7:56:06
[INFO] L2P.py:349 > Test | Sample # 1000 | test_loss 1162.9550 | test_acc 0.4071 | 
